Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
1_2_hambaALLAH,1_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,Mobile,081230758351,unknown,,,,,,,
2_2_hambaALLAH,2_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758352,,,,,,,,
3_2_hambaALLAH,3_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758353,,,,,,,,
4_2_hambaALLAH,4_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758354,,,,,,,,
5_2_hambaALLAH,5_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758355,,,,,,,,
6_2_hambaALLAH,6_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758356,,,,,,,,
7_2_hambaALLAH,7_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758357,,,,,,,,
8_2_hambaALLAH,8_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758358,,,,,,,,
9_2_hambaALLAH,9_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758359,,,,,,,,
10_2_hambaALLAH,10_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758350,,,,,,,,
11_2_hambaALLAH,11_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758361,,,,,,,,
12_2_hambaALLAH,12_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758362,,,,,,,,
13_2_hambaALLAH,13_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758363,,,,,,,,
14_2_hambaALLAH,14_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758364,,,,,,,,
15_2_hambaALLAH,15_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758365,,,,,,,,
16_2_hambaALLAH,16_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758366,,,,,,,,
17_2_hambaALLAH,17_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758367,,,,,,,,
18_2_hambaALLAH,18_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758368,,,,,,,,
19_2_hambaALLAH,19_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758369,,,,,,,,
