Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
AA7_01,AA7_01,,,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,Mobile,081283388751,unknown,,,,,,,
AA7_02,AA7_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388752,,,,,,,,
AA7_03,AA7_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388753,,,,,,,,
AA7_04,AA7_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388754,,,,,,,,
AA7_05,AA7_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388755,,,,,,,,
AA7_06,AA7_06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388756,,,,,,,,
AA7_07,AA7_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388757,,,,,,,,
AA7_08,AA7_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388758,,,,,,,,
AA7_09,AA7_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388759,,,,,,,,
AA7_10,AA7_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388750,,,,,,,,
AA7_11,AA7_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388761,,,,,,,,
AA7_12,AA7_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388762,,,,,,,,
AA7_13,AA7_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388763,,,,,,,,
AA7_14,AA7_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388764,,,,,,,,
AA7_15,AA7_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388765,,,,,,,,
AA7_16,AA7_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388766,,,,,,,,
AA7_17,AA7_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388767,,,,,,,,
AA7_18,AA7_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388768,,,,,,,,
AA7_19,AA7_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388769,,,,,,,,
AA7_20,AA7_20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388760,,,,,,,,
AA7_21,AA7_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388771,,,,,,,,
