Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
AA1_01,AA1_01,,,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,Mobile,6281283389151,unknown,,,,,,,
AA1_02,AA1_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389152,,,,,,,,
AA1_03,AA1_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389153,,,,,,,,
AA1_04,AA1_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389154,,,,,,,,
AA1_05,AA1_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389155,,,,,,,,
AA1_06,AA1_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389156,,,,,,,,
AA1_07,AA1_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389157,,,,,,,,
AA1_08,AA1_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389158,,,,,,,,
AA1_09,AA1_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389159,,,,,,,,
AA1_10,AA1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389150,,,,,,,,
AA1_11,AA1_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389161,,,,,,,,
AA1_12,AA1_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389162,,,,,,,,
AA1_13,AA1_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389163,,,,,,,,
AA1_14,AA1_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389164,,,,,,,,
AA1_15,AA1_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389165,,,,,,,,
AA1_16,AA1_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389166,,,,,,,,
AA1_17,AA1_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389167,,,,,,,,
AA1_18,AA1_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389168,,,,,,,,
AA1_19,AA1_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389169,,,,,,,,
AA1_20,AA1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389160,,,,,,,,
AA1_21,AA1_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389171,,,,,,,,
AA1_22,AA1_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389172,,,,,,,,
AA1_23,AA1_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389173,,,,,,,,
AA1_24,AA1_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389174,,,,,,,,
AA1_25,AA1_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389175,,,,,,,,
AA1_26,AA1_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389176,,,,,,,,
AA1_27,AA1_27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389177,,,,,,,,
AA1_28,AA1_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389178,,,,,,,,
AA1_29,AA1_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6281283389179,,,,,,,,
