Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
1_2_hambaALLAH,1_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,Mobile,081230758151,unknown,,,,,,,
2_2_hambaALLAH,2_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758152,,,,,,,,
3_2_hambaALLAH,3_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758153,,,,,,,,
4_2_hambaALLAH,4_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758154,,,,,,,,
5_2_hambaALLAH,5_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758155,,,,,,,,
6_2_hambaALLAH,6_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758156,,,,,,,,
7_2_hambaALLAH,7_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758157,,,,,,,,
8_2_hambaALLAH,8_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758158,,,,,,,,
9_2_hambaALLAH,9_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758159,,,,,,,,
10_2_hambaALLAH,10_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758150,,,,,,,,
11_2_hambaALLAH,11_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758161,,,,,,,,
12_2_hambaALLAH,12_hambaALLAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758162,,,,,,,,
