No,Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
1,1_2_hambaALLAH,1_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,Mobile,081230758351,unknown,,,,,,,
2,2_2_hambaALLAH,2_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758352,,,,,,,,
3,3_2_hambaALLAH,3_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758353,,,,,,,,
4,4_2_hambaALLAH,4_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758354,,,,,,,,
5,5_2_hambaALLAH,5_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758355,,,,,,,,
6,6_2_hambaALLAH,6_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758356,,,,,,,,
7,7_2_hambaALLAH,7_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758357,,,,,,,,
8,8_2_hambaALLAH,8_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758358,,,,,,,,
9,9_2_hambaALLAH,9_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758359,,,,,,,,
10,10_2_hambaALLAH,10_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758350,,,,,,,,
11,11_2_hambaALLAH,11_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758361,,,,,,,,
12,12_2_hambaALLAH,12_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758362,,,,,,,,
13,13_2_hambaALLAH,13_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758363,,,,,,,,
14,14_2_hambaALLAH,14_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758364,,,,,,,,
15,15_2_hambaALLAH,15_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758365,,,,,,,,
16,16_2_hambaALLAH,16_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758366,,,,,,,,
17,17_2_hambaALLAH,17_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758367,,,,,,,,
18,18_2_hambaALLAH,18_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758368,,,,,,,,
19,19_2_hambaALLAH,19_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758369,,,,,,,,
20,20_2_hambaALLAH,20_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758360,,,,,,,,
21,21_2_hambaALLAH,21_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758371,,,,,,,,
22,22_2_hambaALLAH,22_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758372,,,,,,,,
23,23_2_hambaALLAH,23_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758373,,,,,,,,
24,24_2_hambaALLAH,24_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758374,,,,,,,,
25,25_2_hambaALLAH,25_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758375,,,,,,,,
26,26_2_hambaALLAH,26_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758376,,,,,,,,
27,27_2_hambaALLAH,27_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758377,,,,,,,,
28,28_2_hambaALLAH,28_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758378,,,,,,,,
29,29_2_hambaALLAH,29_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758379,,,,,,,,
30,30_2_hambaALLAH,30_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758370,,,,,,,,
31,31_2_hambaALLAH,31_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758381,,,,,,,,
32,32_2_hambaALLAH,32_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758382,,,,,,,,
33,33_2_hambaALLAH,33_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758383,,,,,,,,
34,34_2_hambaALLAH,34_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758384,,,,,,,,
35,35_2_hambaALLAH,35_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758385,,,,,,,,
36,36_2_hambaALLAH,36_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758386,,,,,,,,
37,37_2_hambaALLAH,37_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758387,,,,,,,,
38,38_2_hambaALLAH,38_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758388,,,,,,,,
39,39_2_hambaALLAH,39_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758389,,,,,,,,
40,40_2_hambaALLAH,40_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758380,,,,,,,,
41,41_2_hambaALLAH,41_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758391,,,,,,,,
42,42_2_hambaALLAH,42_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758392,,,,,,,,
43,43_2_hambaALLAH,43_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758393,,,,,,,,
44,44_2_hambaALLAH,44_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758394,,,,,,,,
45,45_2_hambaALLAH,45_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758395,,,,,,,,
46,46_2_hambaALLAH,46_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758396,,,,,,,,
47,47_2_hambaALLAH,47_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758397,,,,,,,,
48,48_2_hambaALLAH,48_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758398,,,,,,,,
49,49_2_hambaALLAH,49_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758399,,,,,,,,
50,50_2_hambaALLAH,50_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758390,,,,,,,,
51,51_2_hambaALLAH,51_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758301,,,,,,,,
52,52_2_hambaALLAH,52_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758302,,,,,,,,
53,53_2_hambaALLAH,53_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758303,,,,,,,,
54,54_2_hambaALLAH,54_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758304,,,,,,,,
55,55_2_hambaALLAH,55_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758305,,,,,,,,
56,56_2_hambaALLAH,56_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758306,,,,,,,,
57,57_2_hambaALLAH,57_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758307,,,,,,,,
58,58_2_hambaALLAH,58_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758308,,,,,,,,
59,59_2_hambaALLAH,59_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758309,,,,,,,,
